,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,amplitude_cv_median,amplitude_cv_range,amplitude_cutoff,noise_cutoff,noise_ratio,amplitude_median,sd_ratio
25,6877,3.51834239255688,1.0,0.9990226343156554,1.0470205652723714,76,1.0,76,,0.014832048858513887,0.0,0.0,9.10999999999999,,,0.0,0.06314550682947646,0.004234557672834392,136.8900146484375,1.2071881820701773
27,2938,1.5031103605252456,1.0,1.1070164328691703,0.0,0,0.0,0,,0.01531654186521443,0.0,0.0,5.6,3.3551340103149414,4.048924922943115,0.0,-0.3820483637140907,0.024255087209302327,-160.09498596191406,3.6110544702944978
44,8331,4.262223421897828,1.0,1.0224206001344875,0.2816220491726075,30,0.27802831640208103,17,,0.00792221822110191,0.0,0.0,14.0,,,0.0,0.028546908882349595,0.004033451746595619,133.3800048828125,1.9392753717182893
54,1423,0.7280211174361554,1.0,0.9690436131219229,0.0,0,0.0,0,,0.005621925509486999,0.0,0.0,2.7099999999999906,0.8692787885665894,2.745959758758545,0.0,0.017195309701114863,0.00753968253968254,138.2550048828125,2.0354640628019585
60,4344,2.222434106916837,1.0,1.345467834844249,0.3452709464702414,10,0.4756604970995444,7,,0.01151012891344383,0.0,0.0,5.0,0.5538032054901123,1.4154188632965088,0.0,-0.19533644731251404,0.008933451044688274,-216.25498962402344,0.9492584843565722
61,6245,3.1950048337236754,1.0,0.860637603665889,0.0668243548144543,4,0.07823788931804454,3,,0.00976781425140112,0.0,0.0,7.109999999999991,,,0.0,-0.026395788965990465,0.009887005649717513,121.29000091552734,2.70225129786652
65,12564,6.427868811994276,1.0,0.4770025267121695,0.10318672331016787,25,0.11146224262420623,17,,0.011063355619229545,0.0,0.0,13.619999999999981,,,0.0,-0.268780978601132,0.00558621553160546,-47.775001525878906,2.338970826478325
67,14890,7.6178738149152165,1.0,1.293851244120646,0.01763199781409712,6,0.02228835524250361,5,,0.010275352585627938,0.0,0.0,15.309999999999992,,,0.0,-0.2381281003578027,0.0034375522954203158,-185.05499267578125,1.9907462154112823
69,10401,5.321256249088862,1.0,1.0720526454785742,0.1806802698086365,30,0.16762753325983437,17,,0.009710604749543314,0.0,0.0,10.909999999999991,0.8684046268463135,5.008231163024902,0.0,0.02213734731171255,0.005783418018370138,140.59500122070312,1.648497719089375
71,10778,5.514133242253607,1.0,0.9640140781198498,0.40943613608175505,73,0.5810488821016226,49,,0.009649285581740583,0.0,0.0,15.509999999999991,,,0.0,-0.24213818280037402,0.003501637862871343,-105.30000305175781,1.4362350210777601
77,16710,8.549004126745015,1.0,1.0238386015059953,0.02333386971587148,10,0.03201310435906679,9,,0.009814482345900658,0.0,0.0,15.309999999999988,,,0.0,-0.03412917612895349,0.0039008384979948964,132.79501342773438,1.8462201346460805
94,3731,1.9088171392510862,1.0,1.0585811331139217,1.8253820577377795,39,1.0,28,,0.013937282229965157,0.0,0.0,6.4,0.9411115646362305,3.013094186782837,0.0,-0.0960598190861554,0.00768716577540107,140.98500061035156,1.5089662271861595
102,2868,1.4672976562240994,1.0,0.9866660442532204,0.6336819860891275,8,1.0,5,,0.012203626220362623,0.0,0.0,4.4,,,0.0,-0.3167333445949636,0.0047021943573667705,-165.65249633789062,1.2261143821941127
109,6176,3.1597037394839744,1.0,1.031637886457804,0.11957024904538202,7,0.1083595538712051,4,,0.013762953367875648,0.0,0.0,9.2,,,0.0,-0.08459614394833188,0.003698760293186137,140.98500061035156,1.1585598382564604
127,5578,2.8537609227398977,1.0,0.961111481227381,0.18846259121233724,9,0.25149849644540756,7,,0.012011473646468268,0.0,0.0,8.10999999999999,2.0899155139923096,6.044865608215332,0.0,-0.10302209456859292,0.009296848913024375,132.2100067138672,2.0524232102617783
137,17250,8.825273559925284,1.0,0.7816428940304012,0.22990624522505504,105,0.26502511505801496,70,,0.009681159420289855,0.0,0.0,13.929999999999989,1.500930666923523,6.919830322265625,0.0,-0.11397339091028615,0.005229937689669414,81.70500183105469,1.5587015433682931
145,5209,2.6649768100667135,1.0,0.624603551674115,0.48024289597356656,20,0.3490704787293155,8,,0.013054329045882128,0.0,0.0,5.909999999999991,,,0.0,-0.13161625979610067,0.005895610913404507,-104.12999725341797,1.5975397524331774
166,5587,2.858365413292902,1.0,1.0670893632697809,0.5218219392146237,25,1.0,17,,0.011276176839090747,0.0,0.0,6.2,1.2228699922561646,4.015992641448975,0.0,-0.0758394063812262,0.004111063280241068,135.3300018310547,1.7076458545760729
170,1715,0.877411255378079,1.0,0.6951528934825343,0.6645576694334643,3,1.0,3,,0.012244897959183673,0.0,0.0,2.6,1.6517069339752197,3.4810986518859863,0.0,-0.27916707968129384,0.0030654634006589314,-110.17500305175781,1.8547542660864171
175,12463,6.376196195788338,1.0,1.0578720769464647,0.08389275836263796,20,0.099310526055292,15,,0.010270400385140014,0.0,0.0,16.4,1.9681671857833862,8.841279029846191,0.0,-0.11495920381648303,0.006649896350126942,91.6500015258789,1.4889127860132592
178,3209,1.6417566871768254,1.0,1.0018586370586708,1.0755959434540163,17,1.0,11,,0.010283577438454348,0.0,0.0,4.3999999999999995,14.594202041625977,29.115840911865234,0.0,-0.20659919321661988,0.006562173458725183,26.1299991607666,2.1440017591555844
